code,lon,lat,hgt,crd1_flg,crd2_flg,crd1_X,crd1_Y,crd1_Z,crd2_X,crd2_Y,crd2_Z,diff_X,diff_Y,diff_Z,diff_E,diff_N,diff_U
CFAG 41517S001,-68.23264740164795,-31.602166138836157,702.5434361333027,I,I,2016584.95772,-5050165.67031,-3323308.65475,2016584.95772,-5050165.67031,-3323308.65475,0.0,0.0,0.0,0.0,0.0,0.0
CHAT 50207M001,-176.56584720264735,-43.95578223470475,57.97162831015885,I,I,-4590671.3599,-275482.29101,-4404596.33416,-4590671.3599,-275482.29101,-4404596.33416,0.0,0.0,0.0,0.0,0.0,0.0
CHTI 50242M001,-176.61711848289605,-43.735471844473956,75.66865672171116,I,I,-4607856.10222,-272375.55306,-4386954.29635,-4607856.10222,-272375.55306,-4386954.29635,0.0,0.0,0.0,0.0,0.0,0.0
CHUM 25601M001,74.75110185970681,42.9985013988751,716.3449256587774,I,I,1228950.52836,4508079.97364,4327868.53151,1228950.52836,4508079.97364,4327868.53151,0.0,0.0,0.0,0.0,0.0,0.0
CHUR 40128M002,-94.08873097092544,58.75907747443442,-19.245423529297113,I,I,-236439.04743,-3307616.91354,5430049.30194,-236439.04743,-3307616.91354,5430049.30194,0.0,0.0,0.0,0.0,0.0,0.0
CIC1 40508M002,-116.6657652928602,31.87067990907491,64.3217042600736,I,I,-2433177.40577,-4845044.59735,3348296.03655,-2433177.40577,-4845044.59735,3348296.03655,0.0,0.0,0.0,0.0,0.0,0.0
COCO 50127M001,96.83397335634014,-12.188342535918052,-35.299496117047966,I,I,-741950.8592,6190961.69575,-1337767.65002,-741950.8592,6190961.69575,-1337767.65002,0.0,0.0,0.0,0.0,0.0,0.0
CONZ 41719M002,-73.02551496891893,-36.84376533937172,180.62819171883166,P,P,1492004.62585,-4887911.27573,-3803640.25952,1492004.62585,-4887911.27573,-3803640.25952,0.0,0.0,0.0,0.0,0.0,0.0
COYQ 41715S001,-71.89208111306347,-45.51434013186754,476.1613401668146,I,I,1391587.19418,-4255574.54655,-4527925.86896,1391587.19418,-4255574.54655,-4527925.86896,0.0,0.0,0.0,0.0,0.0,0.0
CRAO 12337M002,33.99098521354705,44.41326080651899,365.8062270246446,I,I,3783896.9045,2551404.56988,4441264.37311,3783896.9045,2551404.56988,4441264.37311,0.0,0.0,0.0,0.0,0.0,0.0
CRO1 43201M001,-64.5843187722092,17.756899427853206,-31.96320090536028,I,I,2607771.29087,-5488076.60395,1932767.91369,2607771.29087,-5488076.60395,1932767.91369,0.0,0.0,0.0,0.0,0.0,0.0
DAEJ 23902M002,127.37448218749734,36.39942765196195,116.8469908228144,I,I,-3120042.23644,4084614.78182,3764026.8226,-3120042.23644,4084614.78182,3764026.8226,0.0,0.0,0.0,0.0,0.0,0.0
DARR 50134M001,131.1327425324244,-12.84369951903439,125.10289110336453,I,I,-4091359.4262,4684606.491,-1408579.41873,-4091359.4262,4684606.491,-1408579.41873,0.0,0.0,0.0,0.0,0.0,0.0
DARW 50134M001,131.1327425324244,-12.84369951903439,125.10289110336453,I,I,-4091359.4262,4684606.491,-1408579.41873,-4091359.4262,4684606.491,-1408579.41873,0.0,0.0,0.0,0.0,0.0,0.0
DAV1 66010M001,77.9726125361696,-68.5773235086091,44.386150090023875,I,I,486854.57514,2285099.19909,-5914955.70219,486854.57514,2285099.19909,-5914955.70219,0.0,0.0,0.0,0.0,0.0,0.0
DAVR 66010M001,77.9726125361696,-68.5773235086091,44.386150090023875,I,I,486854.57514,2285099.19909,-5914955.70219,486854.57514,2285099.19909,-5914955.70219,0.0,0.0,0.0,0.0,0.0,0.0
DGAR 30802M001,72.37024323767004,-7.269682297916975,-64.94375811517239,I,I,1916268.97096,6029977.63067,-801719.57342,1916268.97096,6029977.63067,-801719.57342,0.0,0.0,0.0,0.0,0.0,0.0
DGAV 30802M001,72.37024323767004,-7.269682297916975,-64.94375811517239,I,I,1916268.97096,6029977.63067,-801719.57342,1916268.97096,6029977.63067,-801719.57342,0.0,0.0,0.0,0.0,0.0,0.0
DRAG 20710S001,35.39207274422825,31.593202511634008,31.84248849004507,I,I,4432980.45346,3149432.22905,3322110.65128,4432980.45346,3149432.22905,3322110.65128,0.0,0.0,0.0,0.0,0.0,0.0
DRAO 40105M002,-119.6249840651922,49.322618051478216,541.8833888685331,I,I,-2059164.95844,-3621108.40378,4814432.26988,-2059164.95844,-3621108.40378,4814432.26988,0.0,0.0,0.0,0.0,0.0,0.0
DUBO 40137M001,-95.8661829790405,50.258808658273495,245.2774801235646,I,I,-417603.86635,-4064529.81967,4881432.14189,-417603.86635,-4064529.81967,4881432.14189,0.0,0.0,0.0,0.0,0.0,0.0
DUBR 11901M001,18.11043730269069,42.64998502790108,454.2852746611461,I,I,4465939.86553,1460594.65364,4299291.55181,4465939.86553,1460594.65364,4299291.55181,0.0,0.0,0.0,0.0,0.0,0.0
DUM1 91501M001,140.00193543277726,-66.66508564989687,-1.3523823898285627,I,I,-1940883.74995,1628483.11776,-5833718.10611,-1940883.74995,1628483.11776,-5833718.10611,0.0,0.0,0.0,0.0,0.0,0.0
EISL 41703M003,-109.3832827344942,-27.14820983956309,114.52142576966435,I,I,-1884950.58797,-5357596.21485,-2892890.5892,-1884950.58797,-5357596.21485,-2892890.5892,0.0,0.0,0.0,0.0,0.0,0.0
EPRT 49928S001,-66.99213298109294,44.90871044941667,30.358878079801798,I,I,1768544.39333,-4164839.45676,4480190.4687,1768544.39333,-4164839.45676,4480190.4687,0.0,0.0,0.0,0.0,0.0,0.0
FAIR 40408M001,-147.49924063044432,64.97799688962388,319.021941752173,I,I,-2281621.86588,-1453595.94994,5756961.73586,-2281621.86588,-1453595.94994,5756961.73586,0.0,0.0,0.0,0.0,0.0,0.0
FLIN 40135M001,-101.97803674550177,54.725583548727045,311.54503312986344,I,I,-766174.74791,-3611375.35357,5184056.21643,-766174.74791,-3611375.35357,5184056.21643,0.0,0.0,0.0,0.0,0.0,0.0
FORT 41602M001,-38.425613055738644,-3.8774440150798375,19.456259986385703,I,I,4985386.58173,-3954998.65159,-428426.25119,4985386.58173,-3954998.65159,-428426.25119,0.0,0.0,0.0,0.0,0.0,0.0
GALA 42005M001,-90.30361374937674,-0.7426940644123615,7.4298994317650795,I,I,-33795.18876,-6377522.63771,-82120.70105,-33795.18876,-6377522.63771,-82120.70105,0.0,0.0,0.0,0.0,0.0,0.0
GLPS 42005M002,-90.30366754474268,-0.7429984617655745,1.781637885607779,I,I,-33801.14441,-6377516.5219,-82154.28359,-33801.14441,-6377516.5219,-82154.28359,0.0,0.0,0.0,0.0,0.0,0.0
GLSV 12356M001,30.49673549263573,50.364183933770164,226.31209053844213,I,I,3512888.75416,2068980.0237,4888903.28293,3512888.75416,2068980.0237,4888903.28293,0.0,0.0,0.0,0.0,0.0,0.0
GMAS 31303S004,-15.634268317595312,27.76478428542142,195.42118023894727,I,I,5439112.52513,-1522134.79305,2953556.31953,5439112.52513,-1522134.79305,2953556.31953,0.0,0.0,0.0,0.0,0.0,0.0
GMSD 21749S002,131.0155642460415,30.556445380603268,142.33726776298136,I,I,-3607665.3038,4147867.99058,3223717.08495,-3607665.3038,4147867.99058,3223717.08495,0.0,0.0,0.0,0.0,0.0,0.0
GODE 40451M123,-76.8268318203513,39.02172798521627,14.491696987301111,I,I,1130773.5971,-4831253.56941,3994200.44944,1130773.5971,-4831253.56941,3994200.44944,0.0,0.0,0.0,0.0,0.0,0.0
GODZ 40451M123,-76.8268318203513,39.02172798521627,14.491696987301111,I,I,1130773.5971,-4831253.56941,3994200.44944,1130773.5971,-4831253.56941,3994200.44944,0.0,0.0,0.0,0.0,0.0,0.0
GOL2 40405S031,-116.88925204237346,35.42515574723513,986.6563567733392,I,I,-2353614.48383,-4641385.26357,3676976.40133,-2353614.48383,-4641385.26357,3676976.40133,0.0,0.0,0.0,0.0,0.0,0.0
GOLD 40405S031,-116.88925204237346,35.42515574723513,986.6563567733392,I,I,-2353614.48383,-4641385.26357,3676976.40133,-2353614.48383,-4641385.26357,3676976.40133,0.0,0.0,0.0,0.0,0.0,0.0
GOUG 30608M001,-9.88071369123214,-40.34883123840288,81.23281654901803,I,I,4795578.80092,-835299.17409,-4107633.78725,4795578.80092,-835299.17409,-4107633.78725,0.0,0.0,0.0,0.0,0.0,0.0
GRAS 10002M006,6.920575751133909,43.75473928654528,1319.3162653660402,I,I,4581690.76696,556115.02405,4389360.91673,4581690.76696,556115.02405,4389360.91673,0.0,0.0,0.0,0.0,0.0,0.0
GRAZ 11001M002,15.49348310452616,47.0671314095027,538.2912203324959,I,I,4194423.64757,1162702.8711,4647245.52255,4194423.64757,1162702.8711,4647245.52255,0.0,0.0,0.0,0.0,0.0,0.0
GUAM 50501M002,144.86836019138315,13.589329808464406,201.9184542056173,I,I,-5071312.67591,3568363.62204,1488904.38843,-5071312.67591,3568363.62204,1488904.38843,0.0,0.0,0.0,0.0,0.0,0.0
GUAO 21612M003,87.17731062681578,43.47110822803061,2028.7163340905681,I,I,228378.69158,4631946.90263,4367028.53402,228378.69158,4631946.90263,4367028.53402,0.0,0.0,0.0,0.0,0.0,0.0
GUAT 40901S001,-90.52018240140623,14.590404409393384,1519.8788787983358,I,I,-56063.52713,-6174978.66761,1596665.29957,-56063.52713,-6174978.66761,1596665.29957,0.0,0.0,0.0,0.0,0.0,0.0
GUUG 82301M001,144.80271205725708,13.433208598866324,134.72872071620077,I,I,-5070465.1834,3576460.29643,1472093.82598,-5070465.1834,3576460.29643,1472093.82598,0.0,0.0,0.0,0.0,0.0,0.0
HARB 30302M009,27.707246349409633,-25.886961275272164,1558.086186170578,I,I,5084657.61768,2670325.30862,-2768480.98441,5084657.61768,2670325.30862,-2768480.98441,0.0,0.0,0.0,0.0,0.0,0.0
HERS 13212M007,0.3362738706703012,50.867315316421134,76.47411413583905,I,I,4033469.96615,23673.05486,4924301.40996,4033469.96615,23673.05486,4924301.40996,0.0,0.0,0.0,0.0,0.0,0.0
HERT 13212M010,0.33435574993605455,50.8674809665947,83.3355421917513,I,I,4033460.79249,23537.96612,4924318.36258,4033460.79249,23537.96612,4924318.36258,0.0,0.0,0.0,0.0,0.0,0.0
HLFX 40120M001,-63.6112815316497,44.68355029587691,3.097814006730914,I,I,2018905.61144,-4069070.5096,4462415.47484,2018905.61144,-4069070.5096,4462415.47484,0.0,0.0,0.0,0.0,0.0,0.0
HNLC 49970S001,-157.86455155726503,21.30329134790966,21.96545372530818,I,I,-5506798.85751,-2240048.90712,2302720.74158,-5506798.85751,-2240048.90712,2302720.74158,0.0,0.0,0.0,0.0,0.0,0.0
HOB2 50116M004,147.43873609965488,-42.80470769703586,41.0577503843233,I,I,-3950072.06874,2522415.33499,-4311637.61888,-3950072.06874,2522415.33499,-4311637.61888,0.0,0.0,0.0,0.0,0.0,0.0
HOFN 10204M002,-15.197917820974542,64.26729332128258,82.82994464412332,I,I,2679689.93685,-727951.07235,5722789.48476,2679689.93685,-727951.07235,5722789.48476,0.0,0.0,0.0,0.0,0.0,0.0
HOLB 40130M001,-128.1349994143667,50.64035251800636,559.61059429124,I,I,-2503040.68017,-3188233.31487,4908701.45034,-2503040.68017,-3188233.31487,4908701.45034,0.0,0.0,0.0,0.0,0.0,0.0
HRAO 30302M004,27.686982388605482,-25.890103272042314,1414.1451561935246,I,I,5085352.43972,2668396.03292,-2768731.36758,5085352.43972,2668396.03292,-2768731.36758,0.0,0.0,0.0,0.0,0.0,0.0
HYDE 22307M001,78.55087301975674,17.41726129077871,441.6732131941244,I,I,1208444.15762,5966805.97772,1897077.20852,1208444.15762,5966805.97772,1897077.20852,0.0,0.0,0.0,0.0,0.0,0.0
IISC 22306M002,77.57037975604231,13.02116912142742,843.7003300776705,I,I,1337936.02974,6070317.12226,1427877.13442,1337936.02974,6070317.12226,1427877.13442,0.0,0.0,0.0,0.0,0.0,0.0
INVK 40150M001,-133.52696349262624,68.30618401391578,46.35353529360145,I,I,-1628432.30931,-1714393.0738,5903844.6354,-1628432.30931,-1714393.0738,5903844.6354,0.0,0.0,0.0,0.0,0.0,0.0
